TestCaseID,Kind,Subtype,TestGroup,DocTypeCode,DocClass,TaxCategory,TransactionFlags,ItemType,Currency,Scenario/CondFields,SeedXML,InstanceXML,Mutation/Build,PredictedOutcome,ExpectedRuleID,RuleLayer,BusinessTerms,RuleMessage,RejectSource,ActualOutcome,FiredRuleIDs,Status,SourceRef,Notes
PX-R2b-03,Positive,patched,Tax-Category,380,Tax Invoice,S,Standard,n/a,AED,S+N mixed multi-line (NO margin flag; N=zero-VAT line),pint-invoice/Standard tax invoice.xml,catalog_xml/PX-R2b-03.xml,RECALC: 380 with one S line (rate 5) + one N margin line (VAT 0); two breakdowns; recompute,VALID,,,,,,PASS,,VERIFIED,c2 R36,
PX-R2b-04,Positive,patched,Arithmetic/Totals,380,Tax Invoice,S,Standard,n/a,AED,totals at exact 2dp rounding half-point,pint-invoice/Standard tax invoice.xml,catalog_xml/PX-R2b-04.xml,RECALC: line nets chosen so document totals land exactly at 2dp half-point rounding; recompute,VALID,,,,,,PASS,,VERIFIED,c2 R47,
PX-R2b-05,Positive,patched,Boundary/Format,380,Tax Invoice,S,Standard,n/a,AED,high-precision quantity/price,pint-invoice/Standard tax invoice.xml,catalog_xml/PX-R2b-05.xml,RECALC: high-precision InvoicedQuantity 0.3333333 + PriceAmount many-decimal; line net 2dp; recompute,VALID,,,,,,PASS,,VERIFIED,c2 R48,
PX-R2b-06,Positive,patched,Party/Identifier,380,Tax Invoice,S,Standard,n/a,AED,Unicode RTL Arabic + astral-plane emoji in seller name (data-integrity positive),pint-invoice/Standard tax invoice.xml,catalog_xml/PX-R2b-06.xml,set /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName = شركة الإمارات التجارية 🚀,VALID,,,,,,PASS,,VERIFIED,c2 R53,
PX-R2b-07,Positive,patched,Allowance-Charge,380,Tax Invoice,Z,Standard,n/a,AED,line-level allowance on a non-S (Z) category,pint-invoice/Zero rated supplies.xml,catalog_xml/PX-R2b-07.xml,RECALC: add line-level cac:AllowanceCharge ChargeIndicator=false on a Z line; recompute,VALID,,,,,,PASS,,VERIFIED,c2 R59,
PX-R2b-08,Positive,patched,Allowance-Charge,380,Tax Invoice,Z,Standard,n/a,AED,line-level charge on a non-S (Z) category,pint-invoice/Zero rated supplies.xml,catalog_xml/PX-R2b-08.xml,RECALC: add line-level cac:AllowanceCharge ChargeIndicator=true on a Z line; recompute,VALID,,,,,,PASS,,VERIFIED,c2 R60,
PX-R2b-09,Positive,patched,Allowance-Charge,480,Commercial Invoice,E,Standard,n/a,AED,doc-level allowance + charge on same non-S (E) category,pint-invoice/Doc-level-allowance-E-category.xml,catalog_xml/PX-R2b-09.xml,RECALC: add doc-level CHARGE cat E alongside the existing E allowance; recompute,VALID,,,,,,PASS,,VERIFIED,c2 R61,
PX-R2b-10,Positive,patched,Payment,380,Tax Invoice,S,Standard,G,AED,"PaymentMeansCode=1 (instrument not defined), no account",pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-R2b-10.xml,set /Invoice/cac:PaymentMeans/cbc:PaymentMeansCode = 1 ; del /Invoice/cac:PaymentMeans/cac:CardAccount,VALID,,,,,,PASS,,VERIFIED,c2 R112,
PX-R2b-11,Positive,patched,Payment,380,Tax Invoice,S,Standard,G,AED,PaymentMeansCode=54 (credit card) with CardAccount,pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-R2b-11.xml,set /Invoice/cac:PaymentMeans/cbc:PaymentMeansCode = 54,VALID,,,,,,PASS,,VERIFIED,c2 R114,
PX-R2b-12,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,Exports,G,USD,"Export buyer with no Peppol ID, endpoint 0235:9900000099",pint-invoice/Exports.-.predefined.endpoint.xml,catalog_xml/PX-R2b-12.xml,(no patch),VALID,,,,,,PASS,,VERIFIED,c2 R70/R88,
PX-R2b-13,Positive,patched,Transaction-Flag,380,Tax Invoice,S,Deemed,G,AED,"Deemed supply, PayableAmount>0, DueDate absent (ibr-127-ae exemption)",pint-invoice/Deemed.supply.-.predefined.endpoint.xml,catalog_xml/PX-R2b-13.xml,del /Invoice/cbc:DueDate,VALID,,,,,,PASS,,VERIFIED,c2 R117/R132,
PX-C3-AB01,Positive,patched,Payment,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,PayeeParty ABSENT,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/PX-C3-AB01.xml,del cac:PayeeParty,VALID,,,,,,PASS,,VERIFIED,c3-gap: optionality proof (ibr-sr-13/14/15 non-firing),
PX-C3-AB02,Positive,patched,Party/Identifier,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,TaxRep ABSENT,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/PX-C3-AB02.xml,del cac:TaxRepresentativeParty,VALID,,,,,,PASS,,VERIFIED,c3-gap: ibr-sr-08..12 non-firing,
PX-C3-AB03,Positive,patched,Transaction-Flag,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,PaymentTerms ABSENT,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/PX-C3-AB03.xml,del cac:PaymentTerms,VALID,,,,,,PASS,,VERIFIED,c3-gap: optionality,
PX-C3-AB04,Positive,patched,References/Dates,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,ContractRef ABSENT,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/PX-C3-AB04.xml,del cac:ContractDocumentReference,VALID,,,,,,PASS,,VERIFIED,c3-gap: optionality,
PX-C3-AB05,Positive,patched,References/Dates,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,ProjectRef ABSENT,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/PX-C3-AB05.xml,del cac:ProjectReference,VALID,,,,,,PASS,,VERIFIED,c3-gap: optionality,
PX-C3-AB06,Positive,patched,Party/Identifier,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,BuyerReference ABSENT,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/PX-C3-AB06.xml,del cbc:BuyerReference,VALID,,,,,,PASS,,VERIFIED,c3-gap: optionality,
PX-C3-AB10,Positive,patched,References/Dates,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,OrderReference ABSENT,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/PX-C3-AB10.xml,del cac:OrderReference,VALID,,,,,,PASS,,VERIFIED,c3-gap: optionality,
PX-C3-CR-A,Positive,patched,Codelist-Value,381,Tax Credit Note,S,Standard,G,AED,CN reason DL8.61.1.A,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-C3-CR-A.xml,set cac:DiscrepancyResponse/cbc:ResponseCode = DL8.61.1.A,VALID,,,,,,PASS,,VERIFIED,c4-gap: CreditReason.gc sampling (ibr-001-ae/BTAE-03),
PX-C3-CR-B,Positive,patched,Codelist-Value,381,Tax Credit Note,S,Standard,G,AED,CN reason DL8.61.1.B,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-C3-CR-B.xml,set cac:DiscrepancyResponse/cbc:ResponseCode = DL8.61.1.B,VALID,,,,,,PASS,,VERIFIED,c4-gap: CreditReason.gc sampling (ibr-001-ae/BTAE-03),
PX-C3-CR-C,Positive,patched,Codelist-Value,381,Tax Credit Note,S,Standard,G,AED,CN reason DL8.61.1.C,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-C3-CR-C.xml,set cac:DiscrepancyResponse/cbc:ResponseCode = DL8.61.1.C,VALID,,,,,,PASS,,VERIFIED,c4-gap: CreditReason.gc sampling (ibr-001-ae/BTAE-03),
PX-C3-CR-D,Positive,patched,Codelist-Value,381,Tax Credit Note,S,Standard,G,AED,CN reason DL8.61.1.D,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-C3-CR-D.xml,set cac:DiscrepancyResponse/cbc:ResponseCode = DL8.61.1.D,VALID,,,,,,PASS,,VERIFIED,c4-gap: CreditReason.gc sampling (ibr-001-ae/BTAE-03),
PX-C3-RCM-1,Positive,patched,Codelist-Value,380,Tax Invoice,AE,Standard,G,AED,RCM goods-type DL8.48.8.2,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/PX-C3-RCM-1.xml,set cac:CommodityClassification/cbc:NatureCode = DL8.48.8.2,VALID,,,,,,PASS,,VERIFIED,c4-gap: GoodsType.gc sampling (ibr-006-ae/BTAE-09),
PX-C3-RCM-2,Positive,patched,Codelist-Value,380,Tax Invoice,AE,Standard,G,AED,RCM goods-type DL8.48.8.1,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/PX-C3-RCM-2.xml,set cac:CommodityClassification/cbc:NatureCode = DL8.48.8.1,VALID,,,,,,PASS,,VERIFIED,c4-gap: GoodsType.gc sampling (ibr-006-ae/BTAE-09),
PX-C3-RCM-3,Positive,patched,Codelist-Value,380,Tax Invoice,AE,Standard,G,AED,RCM goods-type DL8.48.3.2,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/PX-C3-RCM-3.xml,set cac:CommodityClassification/cbc:NatureCode = DL8.48.3.2,VALID,,,,,,PASS,,VERIFIED,c4-gap: GoodsType.gc sampling (ibr-006-ae/BTAE-09),
PX-C3-RCM-4,Positive,patched,Codelist-Value,380,Tax Invoice,AE,Standard,G,AED,RCM goods-type DL8.48.3.3,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/PX-C3-RCM-4.xml,set cac:CommodityClassification/cbc:NatureCode = DL8.48.3.3,VALID,,,,,,PASS,,VERIFIED,c4-gap: GoodsType.gc sampling (ibr-006-ae/BTAE-09),
PX-C3-BF-DLY,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency DLY,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-DLY.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>DLY</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-WKY,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency WKY,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-WKY.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>WKY</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-Q15,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency Q15,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-Q15.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>Q15</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-MTH,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency MTH,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-MTH.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>MTH</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-Q45,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency Q45,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-Q45.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>Q45</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-Q60,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency Q60,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-Q60.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>Q60</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-QTR,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency QTR,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-QTR.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>QTR</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-YRL,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency YRL,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-YRL.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>YRL</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-BF-HYR,Positive,patched,References/Dates,380,Tax Invoice,S+AE,Summary,G,AED,billing-frequency HYR,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-C3-BF-HYR.xml,add cac:InvoicePeriod (<cbc:DescriptionCode>HYR</cbc:DescriptionCode>),VALID,,,,,,PASS,,VERIFIED,c4-gap: FreqBilling.gc sampling (ibr-005-ae/BTAE-06),
PX-C3-TL-BUY,Positive,patched,Party/Identifier,380,Tax Invoice,S,Standard,n/a,AED,Buyer legal-reg TL + Authority name (ibr-101-ae PASS branch),pint-invoice/Standard tax invoice.xml,catalog_xml/PX-C3-TL-BUY.xml,(no patch),VALID,,,,,,PASS,,VERIFIED,c4-gap: ibr-101-ae PASS parity (only NEG existed),
PX-C3-DMD191,Positive,patched,Payment,380,Tax Invoice,S,Deemed,G,AED,"Deemed supply, PaymentMeans omitted (ibr-191-ae exemption limb)",pint-invoice/Deemed.supply.-.predefined.endpoint.xml,catalog_xml/PX-C3-DMD191.xml,del cac:PaymentMeans,VALID,,,,,,PASS,,VERIFIED,c4-gap: ibr-191-ae deemed exemption PASS,
PX-C4-EX-1,Positive,patched,Codelist-Value,480,Commercial Invoice,E,Standard,n/a,AED,UAE exemption reason DL8.46.1 (replaces vendor VATEX-AE-EDU),pint-invoice/Doc-level-allowance-E-category.xml,catalog_xml/PX-C4-EX-1.xml,set cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode = DL8.46.1 ; set cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode = DL8.46.1,VALID,,,,,,PASS,,VERIFIED,c4-gap: Aligned-TaxExemptionCodes.gc sampling (ibr-167-ae presence),
PX-C4-EX-2,Positive,patched,Codelist-Value,480,Commercial Invoice,E,Standard,n/a,AED,UAE exemption reason DL8.46.2 (replaces vendor VATEX-AE-EDU),pint-invoice/Doc-level-allowance-E-category.xml,catalog_xml/PX-C4-EX-2.xml,set cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode = DL8.46.2 ; set cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode = DL8.46.2,VALID,,,,,,PASS,,VERIFIED,c4-gap: Aligned-TaxExemptionCodes.gc sampling (ibr-167-ae presence),
PX-C4-EX-3,Positive,patched,Codelist-Value,480,Commercial Invoice,E,Standard,n/a,AED,UAE exemption reason DL8.46.3 (replaces vendor VATEX-AE-EDU),pint-invoice/Doc-level-allowance-E-category.xml,catalog_xml/PX-C4-EX-3.xml,set cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode = DL8.46.3 ; set cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode = DL8.46.3,VALID,,,,,,PASS,,VERIFIED,c4-gap: Aligned-TaxExemptionCodes.gc sampling (ibr-167-ae presence),
PX-C4-EX-4,Positive,patched,Codelist-Value,480,Commercial Invoice,E,Standard,n/a,AED,UAE exemption reason DL8.46.4 (replaces vendor VATEX-AE-EDU),pint-invoice/Doc-level-allowance-E-category.xml,catalog_xml/PX-C4-EX-4.xml,set cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode = DL8.46.4 ; set cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode = DL8.46.4,VALID,,,,,,PASS,,VERIFIED,c4-gap: Aligned-TaxExemptionCodes.gc sampling (ibr-167-ae presence),
PX-C4-CD-380,Positive,patched,Party/Identifier,380,Tax Invoice,S,Standard,n/a,AED,Seller legal-reg type CD (Cabinet Decision; no companion),pint-invoice/Standard tax invoice.xml,catalog_xml/PX-C4-CD-380.xml,attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = CD,VALID,,,,,,PASS,,VERIFIED,c4-gap: CD type parity (ibr-173/183-ae allowed-value),
PX-C4-CD-480,Positive,patched,Party/Identifier,480,Commercial Invoice,E,Standard,n/a,AED,Seller legal-reg type CD (Cabinet Decision; no companion),pint-invoice/Commercial invoice.xml,catalog_xml/PX-C4-CD-480.xml,attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = CD,VALID,,,,,,PASS,,VERIFIED,c4-gap: CD type parity (ibr-173/183-ae allowed-value),
PX-C4-CD-381,Positive,patched,Party/Identifier,381,Tax Credit Note,S,Standard,G,AED,Seller legal-reg type CD (Cabinet Decision; no companion),pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-C4-CD-381.xml,attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = CD,VALID,,,,,,PASS,,VERIFIED,c4-gap: CD type parity (ibr-173/183-ae allowed-value),
PX-C4-CD-389,Positive,patched,Party/Identifier,389,Self-Billing Invoice,S,Standard,G,AED,Seller legal-reg type CD (Cabinet Decision; no companion),sb-invoice/Self Billing.xml,catalog_xml/PX-C4-CD-389.xml,attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = CD,VALID,,,,,,PASS,,VERIFIED,c4-gap: CD type parity (ibr-173/183-ae allowed-value),
PX-C4-CD-261,Positive,patched,Party/Identifier,261,Self-Billing Credit Note,S,Standard,G,AED,Seller legal-reg type CD (Cabinet Decision; no companion),sb-creditnote/Self billing tax credit note.xml,catalog_xml/PX-C4-CD-261.xml,attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = CD,VALID,,,,,,PASS,,VERIFIED,c4-gap: CD type parity (ibr-173/183-ae allowed-value),
PX-C4-PAS-480,Positive,patched,Party/Identifier,480,Commercial Invoice,E,Standard,n/a,AED,Seller legal-reg PAS + issuing country IN,pint-invoice/Commercial invoice.xml,catalog_xml/PX-C4-PAS-480.xml,attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = PAS ; attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyName = IN,VALID,,,,,,PASS,,VERIFIED,c4-gap: PAS parity non-380 (ibr-012-ae),
PX-C4-PAS-389,Positive,patched,Party/Identifier,389,Self-Billing Invoice,S,Standard,G,AED,Seller legal-reg PAS + issuing country IN,sb-invoice/Self Billing.xml,catalog_xml/PX-C4-PAS-389.xml,attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = PAS ; attr cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyName = IN,VALID,,,,,,PASS,,VERIFIED,c4-gap: PAS parity non-380 (ibr-012-ae),
PX-C4-TL-480,Positive,patched,Party/Identifier,480,Commercial Invoice,E,Standard,n/a,AED,Buyer legal-reg TL + Authority name on 480,pint-invoice/Commercial invoice.xml,catalog_xml/PX-C4-TL-480.xml,attr cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = TL ; attr cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyName = Dubai Economy and Tourism,VALID,,,,,,PASS,,VERIFIED,c4-gap: buyer-TL parity (ibr-101-ae) on commercial,
PX-C4-INCOTERM,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,Exports,G,USD,Export + Incoterms CIF (BTAE-22),pint-invoice/Exports.xml,catalog_xml/PX-C4-INCOTERM.xml,"add cac:Delivery (<cac:DeliveryTerms><cbc:ID schemeID=""Incoterms"">CIF</cbc:ID></cac:DeliveryTerms>)",VALID,,,,,,PASS,,VERIFIED,c4-gap: Guidelines §12.2 #11 Incoterms,
PX-C4-CUSTOMS,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,Exports,G,USD,Export + Customs reference (BTAE-21),pint-invoice/Exports.xml,catalog_xml/PX-C4-CUSTOMS.xml,add . (<cac:StatementDocumentReference><cbc:ID>EXP010101234</cbc:ID></cac:StatementDocumentReference>),VALID,,,,,,PASS,,VERIFIED,c4-gap: Guidelines §12.2 #11 customs ref,
PX-C4-ECOM-DOM,Positive,patched,Transaction-Flag,380,Tax Invoice,S,eComm,G,AED,Domestic e-commerce pos7 + AE deliver-to (clean pos7 vs pos8),pint-invoice/Supply through e-commerce.xml,catalog_xml/PX-C4-ECOM-DOM.xml,set cbc:ProfileExecutionID = 00000010,VALID,,,,,,PASS,,VERIFIED,c4-gap: ibr-142-ae domestic eCommerce,
PX-C4-Z01,Positive,patched,Payment,380,Tax Invoice,S,Standard,G,AED,"PaymentMeansCode Z01 — engine-PASS, ABSENT from UNCL4461.gc (divergence)",pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-C4-Z01.xml,set cac:PaymentMeans/cbc:PaymentMeansCode = Z01 ; del cac:PaymentMeans/cac:CardAccount,VALID,,,,,,PASS,,VERIFIED,c4: .gc/.sch divergence — ibr-cl-16 accepts Z0x,
PX-C4-Z08,Positive,patched,Payment,380,Tax Invoice,S,Standard,G,AED,"PaymentMeansCode Z08 — engine-PASS, ABSENT from UNCL4461.gc (divergence)",pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-C4-Z08.xml,set cac:PaymentMeans/cbc:PaymentMeansCode = Z08 ; del cac:PaymentMeans/cac:CardAccount,VALID,,,,,,PASS,,VERIFIED,c4: .gc/.sch divergence — ibr-cl-16 accepts Z0x,
CARD-DOCCHG-2,Positive,patched,Currency/FX,380,Tax Invoice,S,Standard,n/a,AED,"2× doc-level CHARGE (IBG-21); split 419.44→209.72+209.72, ChargeTotal unchanged",pint-invoice/Standard tax invoice.xml,catalog_xml/CARD-DOCCHG-2.xml,"set cac:AllowanceCharge[cbc:ChargeIndicator='true']/cbc:MultiplierFactorNumeric = 2 ; set cac:AllowanceCharge[cbc:ChargeIndicator='true']/cbc:Amount = 209.72 ; add . (<cac:AllowanceCharge><cbc:ChargeIndicator>true</cbc:ChargeIndicator><cbc:AllowanceChargeReasonCode>AAT</cbc:AllowanceChargeReasonCode><cbc:AllowanceChargeReason>Rush Delivery 2</cbc:AllowanceChargeReason><cbc:MultiplierFactorNumeric>2</cbc:MultiplierFactorNumeric><cbc:Amount currencyID=""AED"">209.72</cbc:Amount><cbc:BaseAmount currencyID=""AED"">10486</cbc:BaseAmount><cac:TaxCategory><cbc:ID>S</cbc:ID><cbc:Percent>5</cbc:Percent><cac:TaxScheme><cbc:ID>VAT</cbc:ID></cac:TaxScheme></cac:TaxCategory></cac:AllowanceCharge>)",VALID,,,,,,PASS,,VERIFIED,missing_cases_c2 cardinality-many; ibr-co-12/aligned-ibrp-037,
CARD-LINEALW-2,Positive,patched,Currency/FX,380,Tax Invoice,S,Standard,n/a,AED,"2× same-line ALLOWANCE (IBG-27); split 294→147+147, line net unchanged",pint-invoice/Standard tax invoice.xml,catalog_xml/CARD-LINEALW-2.xml,"set cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator='false']/cbc:MultiplierFactorNumeric = 1.5 ; set cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator='false']/cbc:Amount = 147 ; add cac:InvoiceLine (<cac:AllowanceCharge><cbc:ChargeIndicator>false</cbc:ChargeIndicator><cbc:AllowanceChargeReasonCode>95</cbc:AllowanceChargeReasonCode><cbc:AllowanceChargeReason>Discount 2</cbc:AllowanceChargeReason><cbc:MultiplierFactorNumeric>1.5</cbc:MultiplierFactorNumeric><cbc:Amount currencyID=""AED"">147</cbc:Amount><cbc:BaseAmount currencyID=""AED"">9800</cbc:BaseAmount></cac:AllowanceCharge>)",VALID,,,,,,PASS,,VERIFIED,cardinality-many; ibr-147-ae Σ-allowance,
CARD-LINECHG-2,Positive,patched,Currency/FX,380,Tax Invoice,S,Standard,n/a,AED,"2× same-line CHARGE (IBG-28); split 980→490+490, line net unchanged",pint-invoice/Standard tax invoice.xml,catalog_xml/CARD-LINECHG-2.xml,"set cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator='true']/cbc:MultiplierFactorNumeric = 5 ; set cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator='true']/cbc:Amount = 490 ; add cac:InvoiceLine (<cac:AllowanceCharge><cbc:ChargeIndicator>true</cbc:ChargeIndicator><cbc:AllowanceChargeReasonCode>AAC</cbc:AllowanceChargeReasonCode><cbc:AllowanceChargeReason>Tech Mod 2</cbc:AllowanceChargeReason><cbc:MultiplierFactorNumeric>5</cbc:MultiplierFactorNumeric><cbc:Amount currencyID=""AED"">490</cbc:Amount><cbc:BaseAmount currencyID=""AED"">9800</cbc:BaseAmount></cac:AllowanceCharge>)",VALID,,,,,,PASS,,VERIFIED,cardinality-many; ibr-147-ae Σ-charge,
LINE-ALW-CODEDONLY,Positive,patched,Allowance-Charge,380,Tax Invoice,S,Standard,n/a,AED,"line allowance with coded reason only (IBT-140, no free-text IBT-139)",pint-invoice/Standard tax invoice.xml,catalog_xml/LINE-ALW-CODEDONLY.xml,del cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator='false']/cbc:AllowanceChargeReason,VALID,,,,,,PASS,,VERIFIED,line-limb; ibr-cl-19 list pass / IBT-140 UNCL5189,
LINE-CHG-CODEDONLY,Positive,patched,Allowance-Charge,380,Tax Invoice,S,Standard,n/a,AED,"line charge with coded reason only (IBT-145, no free-text IBT-144)",pint-invoice/Standard tax invoice.xml,catalog_xml/LINE-CHG-CODEDONLY.xml,del cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator='true']/cbc:AllowanceChargeReason,VALID,,,,,,PASS,,VERIFIED,line-limb; ibr-cl-20 list pass / IBT-145 UNCL7161,
PX-R2c-CD-81,Positive,patched,Codelist-Value,81,Commercial Credit Note,E,Standard,G,AED,seller legal-reg-type CD on commercial CN,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-R2c-CD-81.xml,set /CreditNote/cbc:CreditNoteTypeCode = 81 ; attr /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = CD ; RECALC: cat E + exemption reason DL8.46.1; recompute,VALID,,,,,,PASS,,VERIFIED,party-parity item3,
